SN2006ej 0.019333 9.74904166666667 -9.01571944444444
filter BCSP9844
53981.1999 16.071 0.008
53986.16548 16.551 0.011
53998.14956 18.042 0.013
54001.09067 18.33 0.014
54003.09822 18.49 0.016
54008.07491 18.807 0.019
54012.07198 18.905 0.043
54017.22351 19.025 0.056
54018.18458 19.091 0.032
54025.12643 19.135 0.018
54040.10499 19.417 0.037
54046.2395 19.473 0.078
filter VCSP9844
53979.23385 15.821 0.007
53981.1999 15.881 0.009
53986.16548 16.156 0.009
53998.14956 17.014 0.009
54001.09067 17.258 0.011
54003.09822 17.448 0.009
54008.07491 17.766 0.011
54012.07198 17.911 0.016
54017.22351 18.121 0.028
54018.18458 18.151 0.015
54025.12643 18.352 0.014
54040.10499 18.703 0.021
54046.2395 18.885 0.042
filter rCSP9844
53979.23385 15.802 0.006
53981.1999 15.903 0.009
53986.16548 16.286 0.009
53998.14956 16.654 0.006
54001.09067 16.867 0.009
54003.09822 17.055 0.007
54008.07491 17.402 0.01
54012.07198 17.588 0.013
54017.22351 17.773 0.025
54018.18458 17.835 0.01
54025.12643 18.089 0.012
54040.10499 18.597 0.016
54046.2395 18.816 0.029
filter iCSP9844
53979.23385 16.471 0.007
53981.1999 16.582 0.009
53986.16548 17.078 0.011
53998.14956 16.889 0.009
54001.09067 16.981 0.012
54003.09822 17.158 0.009
54008.07491 17.564 0.01
54012.07198 17.82 0.016
54017.22351 18.053 0.037
54018.18458 18.135 0.013
54025.12643 18.408 0.016
54040.10499 19.094 0.027
54046.2395 19.344 0.063
