SN2005mc 0.026006 126.776 21.646
filter BCSP3014
53736.2771 17.459 0.01
53737.25328 17.54 0.011
53738.2389 17.636 0.011
53740.28265 17.876 0.012
53746.23622 18.727 0.027
53747.24677 18.88 0.042
53752.24164 19.501 0.072
53755.22343 19.749 0.06
53760.1574 20.118 0.048
53762.17687 20.224 0.049
53763.13367 20.25 0.057
53764.18159 20.291 0.051
53765.13272 20.227 0.045
53768.16284 20.421 0.045
53771.11895 20.454 0.036
filter VCSP3014
53736.2771 17.095 0.01
53737.25328 17.11 0.013
53738.2389 17.152 0.01
53740.28265 17.231 0.012
53741.21161 17.287 0.01
53746.23622 17.704 0.013
53747.24677 17.82 0.016
53752.24164 18.192 0.021
53755.22343 18.484 0.019
53760.1574 18.913 0.024
53762.17687 18.975 0.024
53763.13367 19.051 0.03
53764.18159 19.072 0.03
53765.13272 19.129 0.027
53768.16284 19.183 0.025
53771.11895 19.355 0.022
53773.10487 19.475 0.035
filter rCSP3014
53736.2771 16.935 0.007
53737.25328 16.886 0.02
53738.2389 16.967 0.009
53740.28265 17.038 0.012
53741.21161 17.119 0.008
53746.23622 17.385 0.012
53747.24677 17.46 0.013
53752.24164 17.674 0.014
53755.22343 17.96 0.013
53760.1574 18.411 0.016
53762.17687 18.531 0.018
53763.13367 18.508 0.029
53764.18159 18.57 0.023
53765.13272 18.645 0.023
53768.16284 18.744 0.017
53771.11895 18.842 0.025
53773.10487 18.989 0.018
filter iCSP3014
53736.2771 17.33 0.009
53737.25328 17.365 0.016
53738.2389 17.383 0.011
53740.28265 17.577 0.013
53741.21161 17.625 0.012
53746.23622 17.747 0.013
53747.24677 17.686 0.02
53752.24164 17.727 0.014
53755.22343 17.869 0.013
53760.1574 18.413 0.02
53762.17687 18.53 0.019
53763.13367 18.577 0.024
53764.18159 18.687 0.022
53765.13272 18.702 0.02
53768.16284 18.85 0.018
53771.11895 18.999 0.019
53773.10487 19.131 0.03
