SN2006gj 0.02775 49.3992083333333 -1.69171944444444
filter B
53998.31932 17.995 0.012
54001.3575 17.983 0.014
54003.38184 18.11 0.014
54007.32367 18.533 0.02
54013.2703 19.414 0.06
54029.25108 20.987 0.131
54036.26381 21.218 0.126
54038.30257 21.289 0.122
54039.28978 21.355 0.184
54042.19491 21.369 0.254
54048.22291 21.412 0.247
54052.21572 21.603 0.166
54056.17207 21.268 0.109
54060.21532 21.677 0.174
54066.27314 21.664 0.141
54069.15079 21.544 0.163
54079.21466 22.084 0.279
54084.19787 21.773 0.132
54096.09075 22.358 0.281
filter V
53998.31932 17.702 0.01
54001.3575 17.628 0.015
54003.38184 17.639 0.012
54007.32367 17.839 0.012
54013.2703 18.287 0.026
54029.25108 19.69 0.045
54036.26381 19.933 0.041
54038.30257 19.966 0.045
54039.28978 19.946 0.052
54042.19491 20.146 0.082
54048.22291 20.349 0.086
54052.21572 20.421 0.069
54056.17207 20.535 0.066
54060.21532 20.596 0.064
54066.27314 20.811 0.087
54069.15079 20.925 0.112
54079.21466 21.224 0.149
54084.19787 21.178 0.112
54096.09075 21.786 0.233
filter r
53998.31932 17.493 0.008
54001.3575 17.416 0.012
54003.38184 17.425 0.009
54007.32367 17.666 0.011
54013.2703 17.968 0.014
54029.25108 19.055 0.017
54036.26381 19.383 0.024
54038.30257 19.469 0.029
54039.28978 19.451 0.022
54042.19491 19.585 0.035
54048.22291 19.798 0.047
54052.21572 19.927 0.034
54056.17207 20.119 0.049
54060.21532 20.227 0.04
54066.27314 20.502 0.06
54069.15079 20.534 0.068
54079.21466 21.051 0.115
54084.19787 21.191 0.094
54096.09075 21.619 0.174
filter i
53998.31932 17.643 0.013
54001.3575 17.69 0.015
54003.38184 17.698 0.017
54007.32367 18.075 0.015
54013.2703 18.199 0.017
54029.25108 18.905 0.023
54036.26381 19.313 0.036
54038.30257 19.431 0.04
54039.28978 19.467 0.036
54042.19491 19.579 0.047
54048.22291 19.899 0.052
54052.21572 19.973 0.043
54056.17207 20.15 0.061
54060.21532 20.187 0.058
54066.27314 20.576 0.105
54069.15079 20.481 0.089
54079.21466 20.885 0.153
54084.19787 21.171 0.168
54096.09075 21.407 0.204
