SN2004gs 0.027498 129.597 17.6277
filter BCSP3014
53352.33138 17.416 0.008
53353.30048 17.346 0.007
53356.32257 17.268 0.007
53357.26423 17.305 0.008
53361.25185 17.589 0.009
53362.25899 17.708 0.009
53363.28045 17.833 0.012
53365.24264 18.096 0.021
53372.24282 19.068 0.026
53373.27954 19.201 0.029
53376.29498 19.517 0.018
53377.22471 19.564 0.02
53380.25499 19.822 0.031
53381.23719 19.915 0.031
53383.25416 20.039 0.031
53385.24569 20.13 0.022
53386.22266 20.153 0.025
53387.23879 20.223 0.032
53388.22415 20.294 0.04
53389.19151 20.305 0.053
53390.18118 20.278 0.049
53391.14211 20.249 0.072
53392.17681 20.163 0.097
53393.22352 20.286 0.216
53394.22991 20.354 0.161
53398.17012 20.348 0.107
53400.12903 20.498 0.059
53403.15337 20.571 0.031
53406.16067 20.622 0.025
53407.18226 20.658 0.05
53408.16589 20.699 0.03
53409.16199 20.671 0.029
53410.17931 20.722 0.031
53411.16352 20.78 0.047
53412.15753 20.669 0.052
53415.15713 20.787 0.027
53416.18189 20.844 0.029
53417.1419 20.817 0.038
53418.13998 20.8 0.047
53419.20565 20.811 0.049
53421.18429 20.727 0.202
53426.12329 20.867 0.153
53427.11171 21.136 0.201
53429.07857 20.959 0.067
53432.18089 21.161 0.081
53444.07251 21.316 0.045
53445.07448 21.267 0.043
53446.07116 21.258 0.063
53455.06419 21.523 0.317
filter VCSP3014
53352.33138 17.258 0.093
53353.30048 17.241 0.008
53356.32257 17.099 0.009
53357.26423 17.077 0.009
53361.25185 17.155 0.01
53362.25899 17.2 0.009
53363.28045 17.265 0.011
53365.24264 17.395 0.015
53372.24282 18.004 0.013
53373.27954 18.071 0.014
53376.29498 18.334 0.014
53377.22471 18.393 0.015
53380.25499 18.677 0.036
53381.23719 18.714 0.027
53383.25416 18.89 0.022
53384.20618 18.978 0.037
53385.24569 19.026 0.019
53386.22266 19.074 0.021
53387.23879 19.092 0.026
53388.22415 19.222 0.029
53389.19151 19.246 0.031
53390.18118 19.25 0.027
53391.14211 19.265 0.041
53392.17681 19.26 0.095
53393.22352 19.341 0.131
53394.22991 19.437 0.08
53398.17012 19.471 0.045
53400.12903 19.55 0.032
53403.15337 19.644 0.017
53406.16067 19.703 0.016
53407.18226 19.728 0.023
53408.16589 19.785 0.016
53409.16199 19.804 0.021
53410.17931 19.856 0.019
53411.16352 19.827 0.022
53412.15753 19.846 0.024
53415.15713 19.97 0.017
53416.18189 20.001 0.018
53417.1419 20.053 0.027
53418.13998 20.026 0.027
53419.20565 20.013 0.029
53420.14439 20.142 0.055
53421.18429 20.08 0.115
53424.13347 20.347 0.173
53425.1161 20.306 0.13
53426.12329 20.321 0.082
53427.11171 20.123 0.064
53428.06492 20.186 0.18
53429.07857 20.326 0.038
53432.18089 20.333 0.044
53444.07251 20.585 0.03
53445.07448 20.686 0.033
