SN2007N 0.014 192.255 -9.45283055555555
filter uCSP9844
54123.31229 20.693 0.114
54125.36978 20.928 0.312
54127.30881 21.265 0.105
54128.30912 21.549 0.128
54131.29447 21.897 0.267
54143.30612 22.318 0.439
filter BCSP9844
54123.31229 18.276 0.013
54125.36978 18.342 0.016
54127.30881 18.569 0.014
54128.30912 18.733 0.016
54131.29447 19.226 0.03
54133.29966 19.598 0.067
54143.30612 20.28 0.037
54147.25164 20.372 0.101
54153.30281 20.72 0.058
54154.27515 20.629 0.05
54158.27907 20.739 0.056
54160.29168 20.61 0.11
54161.21659 20.587 0.122
54169.22854 21.063 0.111
54174.27457 21.13 0.082
54181.27189 21.343 0.103
54185.23018 21.54 0.123
54199.20237 21.733 0.181
54203.28065 21.634 0.073
54207.12946 21.776 0.074
54213.15185 21.873 0.093
filter VCSP9844
54123.31229 17.335 0.01
54125.36978 17.27 0.008
54127.30881 17.318 0.008
54128.30912 17.388 0.009
54131.29447 17.726 0.011
54133.29966 18 0.016
54143.30612 18.906 0.02
54147.25164 19.074 0.03
54153.30281 19.396 0.021
54154.27515 19.422 0.023
54158.27907 19.545 0.026
54160.29168 19.62 0.043
54161.21659 19.684 0.057
54169.22854 19.969 0.045
54174.27457 20.145 0.042
54181.27189 20.326 0.047
54185.23018 20.348 0.05
54190.2267 20.315 0.099
54199.20237 20.803 0.086
54200.31917 20.909 0.147
54203.28065 20.979 0.055
54207.12946 21.086 0.063
54213.15185 21.257 0.085
filter gCSP9844
54123.31229 17.754 0.009
54125.36978 17.757 0.013
54127.30881 17.959 0.009
54128.30912 18.107 0.009
54131.29447 18.572 0.013
54133.29966 18.844 0.032
54143.30612 19.644 0.018
54147.25164 19.849 0.038
54154.27515 20.014 0.023
54158.27907 20.152 0.025
54160.29168 20.271 0.056
54161.21659 20.199 0.066
54169.22854 20.375 0.048
54174.27457 20.547 0.036
54181.27189 20.702 0.047
54185.23018 20.783 0.057
54190.2267 20.837 0.141
54199.20237 21.121 0.074
54203.28065 21.183 0.05
54207.12946 21.388 0.045
54213.15185 21.529 0.055
filter rCSP9844
54123.31229 17.124 0.01
54125.36978 16.967 0.01
54127.30881 16.921 0.008
54128.30912 16.951 0.007
54131.29447 17.168 0.01
54133.29966 17.379 0.011
54143.30612 18.315 0.013
54147.25164 18.623 0.04
54154.27515 19.013 0.018
54158.27907 19.22 0.021
54160.29168 19.379 0.031
54161.21659 19.354 0.035
54169.22854 19.759 0.03
54174.27457 20.056 0.032
54181.27189 20.355 0.046
54185.23018 20.437 0.045
54190.2267 20.587 0.116
54199.20237 21.266 0.095
54200.31917 21.444 0.194
54203.28065 21.279 0.077
54207.12946 21.593 0.084
54213.15185 21.958 0.125
filter iCSP9844
54123.31229 17.335 0.013
54125.36978 17.119 0.031
54127.30881 17.017 0.009
54128.30912 17.001 0.008
54131.29447 17.071 0.013
54133.29966 17.202 0.012
54143.30612 18.058 0.017
54147.25164 18.311 0.031
54154.27515 18.726 0.018
54158.27907 18.937 0.021
54160.29168 19.043 0.029
54161.21659 19.043 0.027
54169.22854 19.341 0.03
54174.27457 19.598 0.036
54181.27189 19.738 0.038
54185.23018 19.89 0.049
54190.2267 20.101 0.088
54199.20237 20.202 0.064
54200.31917 20.094 0.084
54203.28065 20.318 0.055
54207.12946 20.277 0.044
54213.15185 20.612 0.051
filter YCSP9844
54124.27075 16.672 0.013
54126.37031 16.537 0.014
54128.30912 16.505 0.006
54129.27134 16.443 0.025
54131.29447 16.443 0.014
54132.31381 16.435 0.013
54135.26963 16.553 0.013
54140.37685 16.923 0.017
54150.30213 17.7 0.053
54156.23335 17.997 0.067
54158.27907 18.186 0.024
54160.29168 18.319 0.025
54164.2377 18.478 0.059
54169.22854 18.733 0.022
54180.21537 19.083 0.105
filter JCSP9844
54124.27075 16.546 0.014
54128.30912 16.434 0.009
54129.27134 16.441 0.013
54132.31381 16.578 0.048
54135.26963 16.909 0.019
54150.30213 18.911 0.124
54156.23335 19.25 0.166
54160.29168 19.588 0.124
54164.2377 19.34 0.235
54169.22854 19.683 0.141
54180.21537 20.23 0.402
filter HCSP9844
54124.27075 16.392 0.022
54126.37031 16.289 0.035
54128.30912 16.285 0.022
54129.27134 16.258 0.05
54132.31381 16.415 0.031
54135.26963 16.671 0.044
54140.37685 17.249 0.083
54150.30213 18.267 0.156
54156.23335 18.439 0.181
54160.29168 18.969 0.126
54164.2377 18.85 0.399
54169.22854 18.99 0.161
